EventID,Locality,Station,StartLatitude,StartLongitude,EndLatitude,EndLongitude,MinimumDepthInMeters,MaximumDepthInMeters,Temperature,Salinity,Oxygen,ObservationDate,ObservationTime,SampleID,ImageFilePath,ScientificName,AphiaID,IndividualCount,Density,Size,Condition,WeightInKg,AssociatedTaxa,Habitat,Substrate
D20220615-T203559,E Central Gulf of Alaska,,58.91078,-148.60057,58.91111,-148.60974,250.64,254.96,NA,,,6/15/2018,11:48:21,,,Demospongiae,164811,4,0.004989763881,,Live,,Pleuronectidae; Sebastolobus; Cottoidei; Lycodes,,Mud-mud
D20220615-T203559,E Central Gulf of Alaska,,58.91078,-148.60057,58.91111,-148.60974,250.64,254.96,NA,,,6/15/2018,11:48:21,,,Pennatulacea,1367,20,0.02494881941,,Live,,Pleuronectidae; Sebastolobus; Cottoidei; Lycodes,,Mud-mud
D20220615-T203559,E Central Gulf of Alaska,,58.91078,-148.60057,58.91111,-148.60974,250.64,254.96,NA,,,6/15/2018,11:48:21,,,Plexauridae,125277,2,0.002494881941,,Live,,Pleuronectidae; Sebastolobus; Cottoidei; Lycodes,,Mud-mud
D20220615-T203559,E Central Gulf of Alaska,,58.91078,-148.60057,58.91111,-148.60974,250.64,254.96,NA,,,6/15/2018,11:48:21,,,Virgulariidae,128488,1,0.00124744097,,Live,,Pleuronectidae; Sebastolobus; Cottoidei; Lycodes,,Mud-mud
D20220615-T224507,E Central Gulf of Alaska,,58.77043,-148.22006,58.77036,-148.22232,265.8,271.69,NA,,,6/15/2018,13:59:17,,,Balticina,146534,29,0.1317964397,,Live,,Sebastolobus; Pleuronectidae,,Sand-cobble
D20220615-T224507,E Central Gulf of Alaska,,58.77043,-148.22006,58.77036,-148.22232,265.8,271.69,NA,,,6/15/2018,13:59:17,,,Demospongiae,164811,1,0.004544704818,,Live,,Sebastolobus; Pleuronectidae,,Sand-cobble
D20220615-T224507,E Central Gulf of Alaska,,58.77043,-148.22006,58.77036,-148.22232,265.8,271.69,NA,,,6/15/2018,13:59:17,,,Pennatulacea,1367,2,0.009089409637,,Live,,Sebastolobus; Pleuronectidae,,Sand-cobble
D20220615-T224507,E Central Gulf of Alaska,,58.77043,-148.22006,58.77036,-148.22232,265.8,271.69,NA,,,6/15/2018,13:59:17,,,Plexauridae,125277,2,0.009089409637,,Live,,Sebastolobus; Pleuronectidae,,Sand-cobble
D20220615-T224507,E Central Gulf of Alaska,,58.77043,-148.22006,58.77036,-148.22232,265.8,271.69,NA,,,6/15/2018,13:59:17,,,Primnoidae,125278,1,0.004544704818,,Live,,Sebastolobus; Pleuronectidae,,Sand-cobble
D20220615-T224507,E Central Gulf of Alaska,,58.77043,-148.22006,58.77036,-148.22232,265.8,271.69,NA,,,6/15/2018,13:59:17,,,Stylasteridae,22805,3,0.01363411446,,Live,,Sebastolobus; Pleuronectidae,,Sand-cobble
D20220615-T234421,E Central Gulf of Alaska,,58.7609,-148.18382,58.76443,-148.18533,423,423,NA,,,6/15/2018,14:54:24,,,Balticina,146534,3,0.003850334471,,Live,,Sebastes; Anoplopoma fimbria; Sebastes melanostictus; Pleuronectidae; Sebastolobus; Teleostei,,Sand-mixed coarse
D20220615-T234421,E Central Gulf of Alaska,,58.7609,-148.18382,58.76443,-148.18533,423,423,NA,,,6/15/2018,14:54:24,,,Plexauridae,125277,1,0.001283444824,,Live,,Sebastes; Anoplopoma fimbria; Sebastes melanostictus; Pleuronectidae; Sebastolobus; Teleostei,,Sand-mixed coarse
D20220615-T234421,E Central Gulf of Alaska,,58.7609,-148.18382,58.76443,-148.18533,423,423,NA,,,6/15/2018,14:54:24,,,Stylasteridae,22805,2,0.002566889647,,Live,,Sebastes; Anoplopoma fimbria; Sebastes melanostictus; Pleuronectidae; Sebastolobus; Teleostei,,Sand-mixed coarse
D20220616-T035145,E Central Gulf of Alaska,,59.21304,-147.52606,59.21531,-147.53072,233,233,NA,,,6/15/2018,19:03:20,,,Demospongiae,164811,4,0.005456408604,,Live,,Sebastes zacentrus; Sebastes; Sebastes variegatus; Sebastes alutus; Pleuronectidae,,Mixed Coarse-mud
D20220616-T035145,E Central Gulf of Alaska,,59.21304,-147.52606,59.21531,-147.53072,233,233,NA,,,6/15/2018,19:03:20,,,Hexactinellida,22612,2,0.002728204302,,Live,,Sebastes zacentrus; Sebastes; Sebastes variegatus; Sebastes alutus; Pleuronectidae,,Mixed Coarse-mud
D20220616-T035145,E Central Gulf of Alaska,,59.21304,-147.52606,59.21531,-147.53072,233,233,NA,,,6/15/2018,19:03:20,,,Stylasteridae,22805,513,0.6997844035,,Live,,Sebastes zacentrus; Sebastes; Sebastes variegatus; Sebastes alutus; Pleuronectidae,,Mixed Coarse-mud
D20220616-T160740,Eastern Gulf of Alaska,,59.54512,-144.8331,59.5421,-144.83298,212.127,226.063,5.522887612,,,6/16/2018,7:16:06,,,Virgulariidae,128488,2,0.005312002841,,Live,,Agonidae; Atheresthes; Pleuronectidae; Sebastes; Teleostei; Sebastolobus,,Mud-mud
D20220616-T210855,Eastern Gulf of Alaska,,59.6981,-143.47267,59.69695,-143.47562,299.494,308.711,5.208276974,,,6/16/2018,12:20:13,,,Virgulariidae,128488,1,0.003171073665,,Live,,Sebastolobus; Zoarcidae; Glyptocephalus zachirus; Squalus suckleyi,,Mud-mud
D20220616-T224825,Eastern Gulf of Alaska,,59.55523,-143.30591,59.5535,-143.30911,324.689,342.709,4.711773671,,,6/16/2018,13:56:35,,,Balticina,146534,2,0.003704451588,,Live,,Agonidae; Sebastes; Sebastolobus; Lycodes,,Mud-mud
D20220616-T224825,Eastern Gulf of Alaska,,59.55523,-143.30591,59.5535,-143.30911,324.689,342.709,4.711773671,,,6/16/2018,13:56:35,,,Stylasteridae,22805,5,0.00926112897,,Live,,Agonidae; Sebastes; Sebastolobus; Lycodes,,Mud-mud
D20220617-T002700,Eastern Gulf of Alaska,,59.67399,-143.19286,59.67142,-143.19479,243.117,248.829,5.751252867,,,6/16/2018,15:43:24,,,Virgulariidae,128488,1,0.001808614618,,Live,,Sebastolobus; Lycodes; Squalus suckleyi; Zoarcoidei; Pleuronectidae; Teleostei; Cottoidei,,Mud-mud
D20220617-T023739,Eastern Gulf of Alaska,,59.76741,-142.78387,59.76562,-142.78069,193.556,200.123,6.142785361,,,6/16/2018,17:47:58,,,Virgulariidae,128488,1,0.002903625082,,Live,,Stichaeidae; Sebastolobus; Zoarcoidei; Teleostei; Pleuronectidae; Lycodes,,Mud-mud
D20220617-T034858,Eastern Gulf of Alaska,,59.69729,-142.71573,59.69476,-142.71195,246.29,263.427,5.549170073,,,6/16/2018,18:58:44,,,Virgulariidae,128488,4,0.006962496349,,Live,,Sebastolobus; Glyptocephalus zachirus; Atheresthes; Zoarcoidei; Microstomus pacificus; Agonidae; Teleostei; Cottoidei; Lycodes; Pleuronectidae,,Mud-mud
D20220617-T135939,Eastern Gulf of Alaska,,58.87523,-140.24353,58.87377,-140.24997,168.471,178.626,6.379636625,,,6/16/2018,5:06:34,,,Demospongiae,164811,46,0.07731425974,,Live,,Bathymasteridae; Ophiodon elongatus; Glyptocephalus zachirus; Hippoglossus stenolepis; Teleostei; Sebastes; Sebastes babcocki; Lycodes; Zoarcidae; Agonidae; Sebastes alutus; Raja rhina; Pleuronectidae,,Mud-mud
D20220617-T135939,Eastern Gulf of Alaska,,58.87523,-140.24353,58.87377,-140.24997,168.471,178.626,6.379636625,,,6/16/2018,5:06:34,,,Virgulariidae,128488,1,0.001680744777,,Live,,Bathymasteridae; Ophiodon elongatus; Glyptocephalus zachirus; Hippoglossus stenolepis; Teleostei; Sebastes; Sebastes babcocki; Lycodes; Zoarcidae; Agonidae; Sebastes alutus; Raja rhina; Pleuronectidae,,Mud-mud
D20220617-T151941,Eastern Gulf of Alaska,,58.81391,-140.44853,58.8105,-140.45177,181.717,189.775,5.841895833,,,6/16/2018,6:32:30,,,Demospongiae,164811,93,0.1290788703,,Live,,Agonidae; Lycodes; Glyptocephalus zachirus; Sebastes; Zoarcidae; Stichaeidae; Pleuronectidae,,Mud-mixed coarse
D20220617-T163232,Eastern Gulf of Alaska,,58.75319,-140.29518,58.75313,-140.30009,174.929,191.376,5.948669081,,,6/17/2018,7:41:33,,,Demospongiae,164811,9,0.02165359733,,Live,,Sebastes; Teleostei; Stichaeidae; Pleuronectidae; Zoarcidae,,Mud-mixed coarse
D20220617-T172940,Eastern Gulf of Alaska,,58.71652,-140.2946,58.71685,-140.30058,186.353,197.612,6.061362454,,,6/17/2018,8:37:40,,,Balticina,146534,1,0.001678911983,,Live,,Pleuronectidae; Sebastolobus; Cottidae; Sebastes; Lycodes; Sebastes helvomaculatus,,Mud-mixed coarse
D20220617-T172940,Eastern Gulf of Alaska,,58.71652,-140.2946,58.71685,-140.30058,186.353,197.612,6.061362454,,,6/17/2018,8:37:40,,,Demospongiae,164811,78,0.1309551346,,Live,,Pleuronectidae; Sebastolobus; Cottidae; Sebastes; Lycodes; Sebastes helvomaculatus,,Mud-mixed coarse
D20220617-T172940,Eastern Gulf of Alaska,,58.71652,-140.2946,58.71685,-140.30058,186.353,197.612,6.061362454,,,6/17/2018,8:37:40,,,Virgulariidae,128488,3,0.005036735948,,Live,,Pleuronectidae; Sebastolobus; Cottidae; Sebastes; Lycodes; Sebastes helvomaculatus,,Mud-mixed coarse
D20220617-T184126,Eastern Gulf of Alaska,,58.661,-140.13815,58.66326,-140.14191,200.675,216.349,5.935203384,,,6/17/2018,9:50:05,,,Alcyoniidae,125269,1,0.001761884664,,Live,,Agonidae; Sebastes; Sebastolobus,,Mud-mixed coarse
D20220617-T184126,Eastern Gulf of Alaska,,58.661,-140.13815,58.66326,-140.14191,200.675,216.349,5.935203384,,,6/17/2018,9:50:05,,,Balticina,146534,1,0.001761884664,,Live,,Agonidae; Sebastes; Sebastolobus,,Mud-mixed coarse
D20220617-T184126,Eastern Gulf of Alaska,,58.661,-140.13815,58.66326,-140.14191,200.675,216.349,5.935203384,,,6/17/2018,9:50:05,,,Demospongiae,164811,27,0.04757088594,,Live,,Agonidae; Sebastes; Sebastolobus,,Mud-mixed coarse
D20220617-T184126,Eastern Gulf of Alaska,,58.661,-140.13815,58.66326,-140.14191,200.675,216.349,5.935203384,,,6/17/2018,9:50:05,,,Hexactinellida,22612,202,0.3559007022,,Live,,Agonidae; Sebastes; Sebastolobus,,Mud-mixed coarse
D20220617-T184126,Eastern Gulf of Alaska,,58.661,-140.13815,58.66326,-140.14191,200.675,216.349,5.935203384,,,6/17/2018,9:50:05,,,Stylasteridae,22805,33,0.05814219393,,Live,,Agonidae; Sebastes; Sebastolobus,,Mud-mixed coarse
D20220617-T195144,SE Gulf of Alaska,,58.62079,-139.99481,58.62256,-139.99802,182.711,194.521,6.088647842,,,6/17/2018,10:59:39,,,Demospongiae,164811,127,0.2745302378,,Live,,Bathyraja; Pleuronectidae; Glyptocephalus zachirus; Sebastes helvomaculatus; Stichaeidae; Microstomus pacificus; Sebastes,,Mud-cobble
D20220617-T195144,SE Gulf of Alaska,,58.62079,-139.99481,58.62256,-139.99802,182.711,194.521,6.088647842,,,6/17/2018,10:59:39,,,Hexactinellida,22612,3,0.006484966248,,Live,,Bathyraja; Pleuronectidae; Glyptocephalus zachirus; Sebastes helvomaculatus; Stichaeidae; Microstomus pacificus; Sebastes,,Mud-cobble
D20220617-T195144,SE Gulf of Alaska,,58.62079,-139.99481,58.62256,-139.99802,182.711,194.521,6.088647842,,,6/17/2018,10:59:39,,,Porifera,558,1,0.002161655416,,Live,,Bathyraja; Pleuronectidae; Glyptocephalus zachirus; Sebastes helvomaculatus; Stichaeidae; Microstomus pacificus; Sebastes,,Mud-cobble
D20220617-T215258,SE Gulf of Alaska,,58.82955,-139.73048,58.83171,-139.73261,154.784,164.442,6.675528415,,,6/17/2018,13:01:40,,,Balticina,146534,1,0.002959854449,,Live,,Stichaeidae; Glyptocephalus zachirus; Pleuronectidae; Osmeridae; Zoarcoidei; Sebastes; Lycodes,,Mud-mud
D20220617-T215258,SE Gulf of Alaska,,58.82955,-139.73048,58.83171,-139.73261,154.784,164.442,6.675528415,,,6/17/2018,13:01:40,,,Demospongiae,164811,3,0.008879563348,,Live,,Stichaeidae; Glyptocephalus zachirus; Pleuronectidae; Osmeridae; Zoarcoidei; Sebastes; Lycodes,,Mud-mud
D20220617-T215258,SE Gulf of Alaska,,58.82955,-139.73048,58.83171,-139.73261,154.784,164.442,6.675528415,,,6/17/2018,13:01:40,,,Pennatulacea,1367,5,0.01479927225,,Live,,Stichaeidae; Glyptocephalus zachirus; Pleuronectidae; Osmeridae; Zoarcoidei; Sebastes; Lycodes,,Mud-mud
D20220617-T215258,SE Gulf of Alaska,,58.82955,-139.73048,58.83171,-139.73261,154.784,164.442,6.675528415,,,6/17/2018,13:01:40,,,Virgulariidae,128488,197,0.5830913265,,Live,,Stichaeidae; Glyptocephalus zachirus; Pleuronectidae; Osmeridae; Zoarcoidei; Sebastes; Lycodes,,Mud-mud
D20220617-T235128,SE Gulf of Alaska,,58.67988,-139.38722,58.67968,-139.39099,243.89,251.423,5.944483514,,,6/17/2018,15:02:12,,,Virgulariidae,128488,3,0.01053985941,,Live,,Glyptocephalus zachirus; Teleostei; Sebastolobus; Pleuronectidae; Lycodes,,Mud-mud
D20220618-T011952,SE Gulf of Alaska,,58.59842,-139.6357,58.60112,-139.63661,226.56,234.59,5.749178938,,,6/17/2018,16:35:12,,,Balticina,146534,6,0.01889331652,,Live,,Sebastolobus; Glyptocephalus zachirus; Agonidae; Teleostei; Sebastes; Zoarcoidei; Pleuronectidae; Anoplopoma fimbria,,Mud-mud
D20220618-T011952,SE Gulf of Alaska,,58.59842,-139.6357,58.60112,-139.63661,226.56,234.59,5.749178938,,,6/17/2018,16:35:12,,,Balticina willemoesi,1393616,7,0.02204220261,,Live,,Sebastolobus; Glyptocephalus zachirus; Agonidae; Teleostei; Sebastes; Zoarcoidei; Pleuronectidae; Anoplopoma fimbria,,Mud-mud
D20220618-T011952,SE Gulf of Alaska,,58.59842,-139.6357,58.60112,-139.63661,226.56,234.59,5.749178938,,,6/17/2018,16:35:12,,,Demospongiae,164811,5,0.01574443044,,Live,,Sebastolobus; Glyptocephalus zachirus; Agonidae; Teleostei; Sebastes; Zoarcoidei; Pleuronectidae; Anoplopoma fimbria,,Mud-mud
D20220618-T011952,SE Gulf of Alaska,,58.59842,-139.6357,58.60112,-139.63661,226.56,234.59,5.749178938,,,6/17/2018,16:35:12,,,Pennatulacea,1367,1,0.003148886087,,Live,,Sebastolobus; Glyptocephalus zachirus; Agonidae; Teleostei; Sebastes; Zoarcoidei; Pleuronectidae; Anoplopoma fimbria,,Mud-mud
D20220618-T011952,SE Gulf of Alaska,,58.59842,-139.6357,58.60112,-139.63661,226.56,234.59,5.749178938,,,6/17/2018,16:35:12,,,Porifera,558,1,0.003148886087,,Live,,Sebastolobus; Glyptocephalus zachirus; Agonidae; Teleostei; Sebastes; Zoarcoidei; Pleuronectidae; Anoplopoma fimbria,,Mud-mud
D20220618-T011952,SE Gulf of Alaska,,58.59842,-139.6357,58.60112,-139.63661,226.56,234.59,5.749178938,,,6/17/2018,16:35:12,,,Virgulariidae,128488,437,1.37606322,,Live,,Sebastolobus; Glyptocephalus zachirus; Agonidae; Teleostei; Sebastes; Zoarcoidei; Pleuronectidae; Anoplopoma fimbria,,Mud-mud
D20220618-T025311,SE Gulf of Alaska,,58.49136,-139.66284,58.49336,-139.66608,250.43,263.758,6.029811765,,,6/17/2018,18:01:21,,,Virgulariidae,128488,31,0.09586957593,,Live,,Zoarcoidei; Cottoidei; Glyptocephalus zachirus; Teleostei; Agonidae,,Mud-mud
D20220618-T045522,SE Gulf of Alaska,,58.4117,-139.2615,58.41378,-139.25841,155.75,167.34,6.759591091,,,6/17/2018,20:02:02,,,Porifera,558,1,0.002334898151,,Live,,Zoarcoidei; Cottoidei; Sebastes; Pleuronectidae; Cottidae; Stichaeidae,,Mud-mixed coarse
D20220618-T204518,SE Gulf of Alaska,,56.89562,-136.03824,56.89888,-136.03821,181.883,194.659,6.028239091,,,6/18/2018,11:52:33,,,Demospongiae,164811,68,0.1058952426,,Live,,Hippoglossus stenolepis; Sebastes zacentrus; Sebastes; Ophiodon elongatus; Pleuronectidae; Sebastolobus; Atheresthes; Sebastes helvomaculatus; Microstomus pacificus,,Mixed Coarse-cobble
D20220618-T204518,SE Gulf of Alaska,,56.89562,-136.03824,56.89888,-136.03821,181.883,194.659,6.028239091,,,6/18/2018,11:52:33,,,Hexactinellida,22612,29,0.0451612064,,Live,,Hippoglossus stenolepis; Sebastes zacentrus; Sebastes; Ophiodon elongatus; Pleuronectidae; Sebastolobus; Atheresthes; Sebastes helvomaculatus; Microstomus pacificus,,Mixed Coarse-cobble
D20220618-T204518,SE Gulf of Alaska,,56.89562,-136.03824,56.89888,-136.03821,181.883,194.659,6.028239091,,,6/18/2018,11:52:33,,,Stylasteridae,22805,2,0.003114565959,,Live,,Hippoglossus stenolepis; Sebastes zacentrus; Sebastes; Ophiodon elongatus; Pleuronectidae; Sebastolobus; Atheresthes; Sebastes helvomaculatus; Microstomus pacificus,,Mixed Coarse-cobble
D20220618-T215052,SE Gulf of Alaska,,56.81885,-135.95721,56.82244,-135.95717,204.097,211.189,6.291125608,,,6/18/2018,13:00:20,,,Balticina,146534,2,0.002867989177,,Live,,Pleuronectidae; Atheresthes; Bathyraja parmifera; Sebastes babcocki; Microstomus pacificus; Sebastolobus,,Mixed Coarse-sand
D20220618-T215052,SE Gulf of Alaska,,56.81885,-135.95721,56.82244,-135.95717,204.097,211.189,6.291125608,,,6/18/2018,13:00:20,,,Balticina willemoesi,1393616,4,0.005735978355,,Live,,Pleuronectidae; Atheresthes; Bathyraja parmifera; Sebastes babcocki; Microstomus pacificus; Sebastolobus,,Mixed Coarse-sand
D20220618-T215052,SE Gulf of Alaska,,56.81885,-135.95721,56.82244,-135.95717,204.097,211.189,6.291125608,,,6/18/2018,13:00:20,,,Demospongiae,164811,2,0.002867989177,,Live,,Pleuronectidae; Atheresthes; Bathyraja parmifera; Sebastes babcocki; Microstomus pacificus; Sebastolobus,,Mixed Coarse-sand
D20220618-T215052,SE Gulf of Alaska,,56.81885,-135.95721,56.82244,-135.95717,204.097,211.189,6.291125608,,,6/18/2018,13:00:20,,,Hexactinellida,22612,7,0.01003796212,,Live,,Pleuronectidae; Atheresthes; Bathyraja parmifera; Sebastes babcocki; Microstomus pacificus; Sebastolobus,,Mixed Coarse-sand
D20220618-T215052,SE Gulf of Alaska,,56.81885,-135.95721,56.82244,-135.95717,204.097,211.189,6.291125608,,,6/18/2018,13:00:20,,,Pennatulacea,1367,1,0.001433994589,,Live,,Pleuronectidae; Atheresthes; Bathyraja parmifera; Sebastes babcocki; Microstomus pacificus; Sebastolobus,,Mixed Coarse-sand
D20220618-T215052,SE Gulf of Alaska,,56.81885,-135.95721,56.82244,-135.95717,204.097,211.189,6.291125608,,,6/18/2018,13:00:20,,,Plexauridae,125277,5,0.007169972943,,Live,,Pleuronectidae; Atheresthes; Bathyraja parmifera; Sebastes babcocki; Microstomus pacificus; Sebastolobus,,Mixed Coarse-sand
D20220619-T000532,SE Gulf of Alaska,,56.67832,-135.53461,56.68108,-135.53497,107.044,120.51,6.571068199,,,6/18/2018,15:12:56,,,Hexactinellida,22612,4,0.006536045736,,Live,,Sebastes helvomaculatus; Sebastes nigrocinctus; Sebastes variegatus; Sebastes; Bathymasteridae; Sebastes proriger,,Boulder-cobble
D20220619-T010245,SE Gulf of Alaska,,56.60957,-135.50537,56.61235,-135.50758,126.195,136.985,6.874177876,,,6/18/2018,16:02:53,,,Demospongiae,164811,3,0.005938256217,,Live,,Bathymasteridae; Zoarcoidei; Sebastes; Hydrolagus colliei; Sebastes variegatus; Lyopsetta exilis,,Cobble-Gravel/Pebble
D20220619-T010245,SE Gulf of Alaska,,56.60957,-135.50537,56.61235,-135.50758,126.195,136.985,6.874177876,,,6/18/2018,16:02:53,,,Hexactinellida,22612,1,0.001979418739,,Live,,Bathymasteridae; Zoarcoidei; Sebastes; Hydrolagus colliei; Sebastes variegatus; Lyopsetta exilis,,Cobble-Gravel/Pebble
D20220619-T020615,SE Gulf of Alaska,,56.58728,-135.65483,56.59022,-135.65648,167.892,182.352,6.306714158,,,6/18/2018,17:13:48,,,Demospongiae,164811,1,0.001740792057,,Live,,Sebastes proriger; Sebastes; Atheresthes; Lyopsetta exilis; Sebastes zacentrus; Sebastes helvomaculatus,,Mud-mixed coarse
D20220619-T020615,SE Gulf of Alaska,,56.58728,-135.65483,56.59022,-135.65648,167.892,182.352,6.306714158,,,6/18/2018,17:13:48,,,Hexactinellida,22612,2,0.003481584114,,Live,,Sebastes proriger; Sebastes; Atheresthes; Lyopsetta exilis; Sebastes zacentrus; Sebastes helvomaculatus,,Mud-mixed coarse
D20220619-T042334,SE Gulf of Alaska,,56.32609,-135.6035,56.32879,-135.60153,375.299,435.788,4.574563251,,,6/18/2018,19:39:48,,,Balticina,146534,2,0.003498365845,,Live,,Pleuronectidae; Embassichthys bathybius; Sebastes melanostictus; Atheresthes; Sebastes; Bathyagonus nigripinnis; Microstomus pacificus; Sebastolobus; Agonidae,,Mud-mixed coarse
D20220619-T042334,SE Gulf of Alaska,,56.32609,-135.6035,56.32879,-135.60153,375.299,435.788,4.574563251,,,6/18/2018,19:39:48,,,Balticina willemoesi,1393616,1,0.001749182923,,Live,,Pleuronectidae; Embassichthys bathybius; Sebastes melanostictus; Atheresthes; Sebastes; Bathyagonus nigripinnis; Microstomus pacificus; Sebastolobus; Agonidae,,Mud-mixed coarse
D20220619-T042334,SE Gulf of Alaska,,56.32609,-135.6035,56.32879,-135.60153,375.299,435.788,4.574563251,,,6/18/2018,19:39:48,,,Demospongiae,164811,1,0.001749182923,,Live,,Pleuronectidae; Embassichthys bathybius; Sebastes melanostictus; Atheresthes; Sebastes; Bathyagonus nigripinnis; Microstomus pacificus; Sebastolobus; Agonidae,,Mud-mixed coarse
D20220619-T042334,SE Gulf of Alaska,,56.32609,-135.6035,56.32879,-135.60153,375.299,435.788,4.574563251,,,6/18/2018,19:39:48,,,Hexactinellida,22612,3,0.005247548768,,Live,,Pleuronectidae; Embassichthys bathybius; Sebastes melanostictus; Atheresthes; Sebastes; Bathyagonus nigripinnis; Microstomus pacificus; Sebastolobus; Agonidae,,Mud-mixed coarse
D20220619-T042334,SE Gulf of Alaska,,56.32609,-135.6035,56.32879,-135.60153,375.299,435.788,4.574563251,,,6/18/2018,19:39:48,,,Pennatulacea,1367,8,0.01399346338,,Live,,Pleuronectidae; Embassichthys bathybius; Sebastes melanostictus; Atheresthes; Sebastes; Bathyagonus nigripinnis; Microstomus pacificus; Sebastolobus; Agonidae,,Mud-mixed coarse
D20220619-T172801,SE Gulf of Alaska,,56.13554,-134.94861,56.13758,-134.95802,270.988,285.697,5.908913958,,,6/19/2018,8:40:33,,,Balticina,146534,1,0.0009523087044,,Live,,Glyptocephalus zachirus; Sebastolobus; Sebastes alutus; Sebastes zacentrus; Anoplopoma fimbria; Sebastes; Atheresthes; Microstomus pacificus,,Gravel/Pebble-mixed coarse
D20220619-T172801,SE Gulf of Alaska,,56.13554,-134.94861,56.13758,-134.95802,270.988,285.697,5.908913958,,,6/19/2018,8:40:33,,,Demospongiae,164811,1,0.0009523087044,,Live,,Glyptocephalus zachirus; Sebastolobus; Sebastes alutus; Sebastes zacentrus; Anoplopoma fimbria; Sebastes; Atheresthes; Microstomus pacificus,,Gravel/Pebble-mixed coarse
D20220619-T172801,SE Gulf of Alaska,,56.13554,-134.94861,56.13758,-134.95802,270.988,285.697,5.908913958,,,6/19/2018,8:40:33,,,Pennatulacea,1367,46,0.0438062004,,Live,,Glyptocephalus zachirus; Sebastolobus; Sebastes alutus; Sebastes zacentrus; Anoplopoma fimbria; Sebastes; Atheresthes; Microstomus pacificus,,Gravel/Pebble-mixed coarse
D20220619-T172801,SE Gulf of Alaska,,56.13554,-134.94861,56.13758,-134.95802,270.988,285.697,5.908913958,,,6/19/2018,8:40:33,,,Porifera,558,1,0.0009523087044,,Live,,Glyptocephalus zachirus; Sebastolobus; Sebastes alutus; Sebastes zacentrus; Anoplopoma fimbria; Sebastes; Atheresthes; Microstomus pacificus,,Gravel/Pebble-mixed coarse
D20220619-T172801,SE Gulf of Alaska,,56.13554,-134.94861,56.13758,-134.95802,270.988,285.697,5.908913958,,,6/19/2018,8:40:33,,,Stylasteridae,22805,25,0.02380771761,,Live,,Glyptocephalus zachirus; Sebastolobus; Sebastes alutus; Sebastes zacentrus; Anoplopoma fimbria; Sebastes; Atheresthes; Microstomus pacificus,,Gravel/Pebble-mixed coarse
