"","ASV","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom","seq_percID","diff","top_perc"
"24","ASV101","Sebastes","genus","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"25","ASV101","Sebastes","genus","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"26","ASV101","Sebastes","genus","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"27","ASV101","Sebastes","genus","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"28","ASV101","Sebastes","genus","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"29","ASV101","Sebastes","genus","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"30","ASV101","Sebastes","genus","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"31","ASV101","Sebastes","genus","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"32","ASV101","Sebastes","genus","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"33","ASV101","Sebastes","genus","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"34","ASV101","Sebastes","genus","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"35","ASV101","Sebastes","genus","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"36","ASV101","Sebastes","genus","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"37","ASV101","Sebastes","genus","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"38","ASV101","Sebastes","genus","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"39","ASV101","Sebastes","genus","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"40","ASV101","Sebastes","genus","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"41","ASV102","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",99.412,0,99.412
"42","ASV103","Sebastes","genus","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"43","ASV103","Sebastes","genus","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"44","ASV103","Sebastes","genus","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"45","ASV103","Sebastes","genus","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"46","ASV103","Sebastes","genus","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"47","ASV103","Sebastes","genus","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"48","ASV103","Sebastes","genus","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"49","ASV103","Sebastes","genus","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"50","ASV103","Sebastes","genus","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"51","ASV103","Sebastes","genus","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"52","ASV103","Sebastes","genus","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"53","ASV103","Sebastes","genus","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"54","ASV103","Sebastes","genus","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"55","ASV103","Sebastes","genus","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"56","ASV103","Sebastes","genus","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"57","ASV103","Sebastes","genus","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"58","ASV103","Sebastes","genus","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"59","ASV104","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,NA
"60","ASV105","Sebastes","genus","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"61","ASV105","Sebastes","genus","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"62","ASV105","Sebastes","genus","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"63","ASV105","Sebastes","genus","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"64","ASV105","Sebastes","genus","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"65","ASV105","Sebastes","genus","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"66","ASV105","Sebastes","genus","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"67","ASV105","Sebastes","genus","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"68","ASV105","Sebastes","genus","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"69","ASV105","Sebastes","genus","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"70","ASV105","Sebastes","genus","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"71","ASV105","Sebastes","genus","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"72","ASV105","Sebastes","genus","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"73","ASV105","Sebastes","genus","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"74","ASV105","Sebastes","genus","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"75","ASV105","Sebastes","genus","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"76","ASV105","Sebastes","genus","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"77","ASV106","Anoplopoma fimbria","species","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"78","ASV107","Sebastes","genus","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"79","ASV107","Sebastes","genus","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"80","ASV107","Sebastes","genus","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"81","ASV107","Sebastes","genus","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"82","ASV107","Sebastes","genus","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"83","ASV107","Sebastes","genus","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"84","ASV107","Sebastes","genus","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"85","ASV107","Sebastes","genus","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"86","ASV107","Sebastes","genus","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"87","ASV107","Sebastes","genus","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"88","ASV107","Sebastes","genus","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"89","ASV107","Sebastes","genus","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"90","ASV107","Sebastes","genus","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"91","ASV107","Sebastes","genus","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"92","ASV107","Sebastes","genus","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"93","ASV107","Sebastes","genus","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"94","ASV107","Sebastes","genus","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"95","ASV108","Bos","genus","Bos frontalis","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,NA
"96","ASV108","Bos","genus","Bos indicus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,NA
"97","ASV108","Bos","genus","Bos taurus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,NA
"98","ASV109","Bos taurus","species","Bos taurus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,NA
"99","ASV11","Bovidae","family","Bison bonasus","Bison","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,NA
"100","ASV11","Bovidae","family","Bos indicus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,NA
"101","ASV11","Bovidae","family","Bos javanicus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,NA
"102","ASV11","Bovidae","family","Bos primigenius","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,NA
"103","ASV11","Bovidae","family","Bos taurus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,NA
"104","ASV110","Oncorhynchus","genus","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",98.824,0,98.824
"105","ASV110","Oncorhynchus","genus","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",98.817,0.007000000000005,98.824
"106","ASV112","Bathyagonus pentacanthus","species","Bathyagonus pentacanthus","Bathyagonus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,NA
"107","ASV114","Hexagrammos decagrammus","species","Hexagrammos decagrammus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,NA
"108","ASV115","Oncorhynchus nerka","species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",100,0,100
"109","ASV116","Pleuronectidae","family","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,NA
"110","ASV116","Pleuronectidae","family","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,NA
"111","ASV117","Acipenser fulvescens","species","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota",98.333,0,NA
"112","ASV118","Sebastes","genus","Sebastes borealis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"113","ASV118","Sebastes","genus","Sebastes saxicola","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"114","ASV119","Sebastes","genus","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"115","ASV119","Sebastes","genus","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"116","ASV119","Sebastes","genus","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"117","ASV119","Sebastes","genus","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"118","ASV119","Sebastes","genus","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"119","ASV119","Sebastes","genus","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"120","ASV119","Sebastes","genus","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"121","ASV119","Sebastes","genus","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"122","ASV119","Sebastes","genus","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"123","ASV119","Sebastes","genus","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"124","ASV119","Sebastes","genus","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"125","ASV119","Sebastes","genus","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"126","ASV119","Sebastes","genus","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"127","ASV119","Sebastes","genus","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"128","ASV119","Sebastes","genus","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"129","ASV119","Sebastes","genus","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"130","ASV119","Sebastes","genus","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"131","ASV12","Atheresthes","genus","Atheresthes evermanni","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,0,NA
"132","ASV12","Atheresthes","genus","Atheresthes stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,0,NA
"133","ASV120","Stenobrachius leucopsarus","species","Stenobrachius leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota",99.419,0,NA
"134","ASV121","Canis lupus","species","Canis lupus","Canis","Canidae","Carnivora","Mammalia","Chordata","Eukaryota",100,0,NA
"135","ASV122","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,NA
"136","ASV123","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",98.235,0,98.235
"137","ASV124","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,0,NA
"138","ASV125","Sebastes","genus","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"139","ASV125","Sebastes","genus","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"140","ASV125","Sebastes","genus","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"141","ASV125","Sebastes","genus","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"142","ASV125","Sebastes","genus","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"143","ASV125","Sebastes","genus","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"144","ASV125","Sebastes","genus","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"145","ASV125","Sebastes","genus","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"146","ASV125","Sebastes","genus","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"147","ASV125","Sebastes","genus","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"148","ASV125","Sebastes","genus","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"149","ASV125","Sebastes","genus","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"150","ASV125","Sebastes","genus","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"151","ASV125","Sebastes","genus","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"152","ASV125","Sebastes","genus","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"153","ASV125","Sebastes","genus","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"154","ASV125","Sebastes","genus","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"155","ASV126","Sebastes","genus","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"156","ASV126","Sebastes","genus","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"157","ASV126","Sebastes","genus","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"158","ASV126","Sebastes","genus","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"159","ASV126","Sebastes","genus","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"160","ASV126","Sebastes","genus","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"161","ASV126","Sebastes","genus","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"162","ASV126","Sebastes","genus","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"163","ASV126","Sebastes","genus","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"164","ASV126","Sebastes","genus","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"165","ASV126","Sebastes","genus","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"166","ASV126","Sebastes","genus","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"167","ASV126","Sebastes","genus","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"168","ASV126","Sebastes","genus","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"169","ASV126","Sebastes","genus","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"170","ASV126","Sebastes","genus","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"171","ASV126","Sebastes","genus","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"172","ASV127","Sebastes","genus","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"173","ASV127","Sebastes","genus","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"174","ASV127","Sebastes","genus","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"175","ASV127","Sebastes","genus","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"176","ASV127","Sebastes","genus","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"177","ASV127","Sebastes","genus","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"178","ASV127","Sebastes","genus","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"179","ASV127","Sebastes","genus","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"180","ASV127","Sebastes","genus","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"181","ASV127","Sebastes","genus","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"182","ASV127","Sebastes","genus","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"183","ASV127","Sebastes","genus","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"184","ASV127","Sebastes","genus","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"185","ASV127","Sebastes","genus","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
"186","ASV127","Sebastes","genus","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,NA
